"","idx","script","speaker","time_from","time_to"
"336","417","빨리요, 빨리!","팀장","00:22:51,791","00:22:53,041"
"337","418","기장님, 폭력 사태요!",NA,"00:22:54,041","00:22:55,166"
"338","419","기장님, 객실에서 폭력 사태가 일어났습니다!",NA,"00:22:55,916","00:22:58,583"
"339","420","기장님!","팀장","00:22:58,708","00:22:59,583"
"340","422","도, 도망가!",NA,"00:23:10,458","00:23:12,208"
"341","428","뭐야, 저거? ","여자1","00:23:33,375","00:23:35,208"
"342","428","저게 뭐야, 진짜!","남자1","00:23:33,375","00:23:35,208"
"343","431","아이씨!","남자2","00:23:39,458","00:23:41,041"
"344","434","도망가, 도망가!","남자3","00:23:45,625","00:23:48,125"
"345","437","나가세요! 빨리!","팀장","00:23:55,000","00:23:56,125"
"346","438","일어나세요! 나가세요!",NA,"00:23:56,208","00:23:57,458"
"347","439","어, 손님!",NA,"00:23:57,875","00:23:58,916"
"348","441","아, 뭐야, 이거!","팀장","00:24:00,791","00:24:02,416"
"349","446","뭐야, 이거, 아악!","팀장","00:24:09,708","00:24:11,000"
"350","451","아빠!",NA,"00:24:21,000","00:24:21,833"
"351","464","빨리, 빨리!","남자","00:24:59,750","00:25:00,833"
"352","465","자기야",NA,"00:25:04,291","00:25:05,541"
"353","466","야, 윤상화!",NA,"00:25:07,166","00:25:08,416"
"354","467","아, 진짜 시끄럽게 ",NA,"00:25:08,500","00:25:11,000"
"355","467","아이, 미안해, 미안해",NA,"00:25:08,500","00:25:11,000"
"356","468","엄마야! 저리 가","여자","00:25:11,083","00:25:13,500"
"357","472","이 새끼야, 뭐 해! 빨리 도와줘!",NA,"00:25:24,791","00:25:26,291"
"358","474","아저씨! 아저씨 아저씨, 왜 이래?","상화","00:25:29,083","00:25:30,833"
"359","477","아저씨 왜 이래, 미쳤어?",NA,"00:25:35,000","00:25:36,500"
